,,"Yellow shading above indicates which teams have a third round game that evening.  See table below for the match-ups.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"THIRD ROUND GAMES",,,2-Jun,,9-Jun,,16-Jun,,23-Jun,,30-Jun,,7-Jul,,14-Jul,,21-Jul,,,,,,
,,,,"match","field","match","field","match","field","match","field","match","field","match","field","match","field","match","field",,,,,
,,,"Rnd 3","dark","B3","1 v 14","B3","3 v 16","B3","5 v 10","B3","dark","B3","dark","B3","dark","B3","dark","B3",,,,,
,,,"Rnd 3","dark","B4","2 v 13","B4","7 v 12","B4","6 v 9","B4","dark","B4","dark","B4","dark","B4","dark","B4",,,,,
,,,"Rnd 3","dark","B5","dark","B5","8 v 11","B5","4 v 15","B5","dark","B5","dark","B5","dark","B5","dark","B5",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Regular Season 
All games will use the 5/2-4/3 ""Offense Dictates"" co-ed format.  
Postseason
The Playoffs will take 4 weeks.   
The Playoff Schedule will be: 
July 21 and July 28 will be round-robin play.  
August 4 will be Quarter and Semi-finals.  
Finals will be held August 11.  
Rain could push these dates back, but not beyond the end of August.

Fields
Refer to the map on the back of this sheet for directions to these field sites. 

Important Reminder: No beer. No dogs.
",,,,,,,,,"Time and Personnel
Do not be late. On Monday nights the first round games start at 6:30 and are capped at 7:20 to leave enough daylight for second round games, which should start at 7:35. 
Teams are obligated to begin play at the official start time.  If fewer than 7 players are present, teams must play shorthanded and with no more than 5 men. Opposing teams are free to field a full complement of players.
Play
Double Header Nights - games go to 13.  Beware of the Time Cap.
Single Game Nights – games go to 15 (or more – Captains’ Discretion).
Zero length halftime – exchange sides/disk and play!
1 time-out per half.  Add one floater in games to 15.
A 10 yard brick is in effect.   A dropped pull is a turnover!
UPA 11th Edition Rules are in effect.",,,,,,,,,,,,,,
